"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"3","2","0","4.795486600846263","0","1","0","5.500705218617771","0","1","0","5.077574047954866","0","1","0","5.218617771509168","4","2","0","4.9365303244005645","2","2","0","4.513399153737659","4","2","0","4.231311706629055","4","2","0","5.077574047954866","2","2","0","5.077574047954866","4","2","0","5.6417489421720735"
,"3","3","0","4.795486600846263","0","1","0","5.500705218617771","0","1","0","5.077574047954866","0","1","0","5.218617771509168","5","3","0","4.9365303244005645","2","3","0","4.513399153737659","4","3","0","4.231311706629055","4","3","0","5.077574047954866","2","3","0","5.077574047954866","4","3","0","5.6417489421720735"
,"5","3","0","4.795486600846263","0","1","0","5.500705218617771","0","1","0","5.077574047954866","0","1","0","5.218617771509168","7","3","0","4.9365303244005645","3","3","0","4.65444287729196","6","3","0","4.231311706629055","7","3","0","5.077574047954866","4","3","0","5.077574047954866","8","3","0","5.6417489421720735"
,"5","5","0","4.795486600846263","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","9","5","0","4.9365303244005645","3","5","0","4.65444287729196","6","5","0","4.231311706629055","7","5","0","5.077574047954866","4","5","0","5.077574047954866","8","5","0","5.6417489421720735"
,"9","6","0","4.795486600846263","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","13","6","0","4.9365303244005645","6","6","0","4.65444287729196","10","6","0","4.231311706629055","13","6","0","5.077574047954866","7","6","0","5.077574047954866","16","6","0","5.6417489421720735"
,"9","6","0","4.795486600846263","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","17","6","0","4.9365303244005645","6","6","0","4.65444287729196","10","6","0","4.231311706629055","13","6","0","5.077574047954866","7","6","0","5.077574047954866","16","6","0","5.6417489421720735"
,"14","7","0","4.9365303244005645","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","25","7","0","4.9365303244005645","11","7","0","4.795486600846263","18","7","0","4.231311706629055","24","7","0","5.077574047954866","12","7","0","5.077574047954866","31","7","0","5.6417489421720735"
,"13","8","0","5.077574047954866","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","33","8","0","4.9365303244005645","10","8","0","4.9365303244005645","18","8","0","4.231311706629055","23","8","0","5.218617771509168","12","8","0","5.077574047954866","30","8","0","5.782792665726375"
,"19","8","0","5.218617771509168","0","2","0","5.500705218617771","0","2","0","5.077574047954866","0","2","0","5.218617771509168","48","8","0","4.9365303244005645","17","8","0","4.9365303244005645","34","8","0","4.231311706629055","45","8","0","5.359661495063469","22","8","0","5.077574047954866","58","8","0","5.923836389280677"
,"19","10","0","5.218617771509168","0","4","0","5.500705218617771","0","2","0","5.077574047954866","0","4","0","5.218617771509168","63","13","0","5.077574047954866","16","13","0","5.077574047954866","34","10","0","4.231311706629055","44","13","0","5.500705218617771","22","10","0","5.077574047954866","57","13","0","6.064880112834979"
