"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"97","3","0","0.2820874471086037","97","3","0","0","96","3","0","0.2820874471086037","99","3","0","0","93","3","0","0.2820874471086037","100","3","0","0","95","3","0","0.2820874471086037","99","3","0","0.14104372355430184","94","3","0","0.5641748942172073","100","3","0","0"
,"140","3","0","0.4231311706629055","155","3","0","0","132","3","0","0.2820874471086037","161","3","0","0.14104372355430184","120","3","0","0.2820874471086037","136","3","0","0","125","3","0","0.4231311706629055","160","3","0","0.2820874471086037","158","3","0","0.846262341325811","151","3","0","0.14104372355430184"
,"189","5","0","0.7052186177715092","191","5","0","0","188","5","0","0.2820874471086037","191","5","0","0.14104372355430184","176","5","0","0.4231311706629055","198","5","0","0.14104372355430184","187","5","0","0.7052186177715092","193","5","0","0.4231311706629055","181","5","0","1.1283497884344147","194","5","0","0.4231311706629055"
,"272","6","0","0.9873060648801129","302","6","0","0","254","6","0","0.4231311706629055","310","6","0","0.4231311706629055","226","6","0","0.5641748942172073","266","6","0","0.2820874471086037","242","6","0","0.846262341325811","303","6","0","0.7052186177715092","294","6","0","1.5514809590973202","277","6","0","0.846262341325811"
,"356","6","0","1.5514809590973202","371","6","0","0.14104372355430184","347","6","0","0.7052186177715092","366","6","0","0.846262341325811","324","6","0","0.846262341325811","381","6","0","0.846262341325811","355","6","0","0.9873060648801129","364","6","0","1.1283497884344147","335","6","0","1.8335684062059237","348","6","0","1.4104372355430184"
,"460","7","0","2.1156558533145273","524","7","0","0.4231311706629055","429","7","0","1.1283497884344147","539","7","0","1.4104372355430184","401","7","0","1.2693935119887165","485","7","0","1.5514809590973202","435","7","0","1.4104372355430184","487","7","0","1.5514809590973202","507","7","0","2.2566995768688294","474","7","0","1.5514809590973202"
,"551","8","0","2.6798307475317347","610","8","0","0.7052186177715092","523","8","0","1.692524682651622","606","8","0","2.1156558533145273","536","8","0","1.8335684062059237","591","8","0","1.9746121297602257","555","8","0","1.692524682651622","529","8","0","2.2566995768688294","540","8","0","2.6798307475317347","537","8","0","1.692524682651622"
,"641","8","0","3.1029619181946404","700","8","0","0.846262341325811","604","8","0","2.3977433004231314","688","8","0","3.1029619181946404","612","8","0","2.538787023977433","653","8","0","2.8208744710860367","615","8","0","2.2566995768688294","658","8","0","3.244005641748942","686","8","0","3.385049365303244","638","8","0","1.9746121297602257"
,"666","13","0","4.231311706629055","737","13","0","1.4104372355430184","640","11","0","3.5260930888575457","717","13","0","4.65444287729196","714","12","0","4.090267983074753","697","13","0","3.9492242595204514","683","10","0","2.8208744710860367","661","13","0","4.372355430183357","690","11","0","4.231311706629055","659","11","0","2.3977433004231314"
,"703","14","0","5.359661495063469","762","14","0","1.9746121297602257","668","12","0","4.795486600846263","746","14","0","6.205923836389281","737","13","0","5.500705218617771","721","14","0","4.9365303244005645","692","11","0","3.5260930888575457","738","14","0","5.782792665726375","733","12","0","4.9365303244005645","698","12","0","2.8208744710860367"
