"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"0","1","0","4.513399153737659","0","1","0","5.500705218617771","4","2","0","5.6417489421720735","0","1","0","4.513399153737659","0","1","0","5.218617771509168","2","2","0","3.9492242595204514","4","2","0","5.500705218617771","8","2","0","5.077574047954866","0","1","0","5.500705218617771","11","2","0","4.231311706629055"
,"0","1","0","4.513399153737659","0","1","0","5.500705218617771","4","3","0","5.6417489421720735","0","1","0","4.513399153737659","0","1","0","5.218617771509168","2","3","0","3.9492242595204514","6","3","0","5.500705218617771","10","3","0","5.077574047954866","0","1","0","5.500705218617771","15","3","0","4.231311706629055"
,"0","1","0","4.513399153737659","0","1","0","5.500705218617771","8","3","0","5.6417489421720735","0","1","0","4.513399153737659","0","1","0","5.218617771509168","4","3","0","3.9492242595204514","8","3","0","5.500705218617771","16","3","0","5.077574047954866","0","1","0","5.500705218617771","21","3","0","4.372355430183357"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","8","5","0","5.6417489421720735","0","2","0","4.513399153737659","0","2","0","5.218617771509168","4","5","0","3.9492242595204514","11","3","0","5.500705218617771","20","5","0","5.077574047954866","0","2","0","5.500705218617771","28","5","0","4.372355430183357"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","16","6","0","5.6417489421720735","0","2","0","4.513399153737659","0","2","0","5.218617771509168","8","6","0","3.9492242595204514","14","4","0","5.500705218617771","30","6","0","5.077574047954866","0","2","0","5.500705218617771","38","6","0","4.372355430183357"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","16","6","0","5.6417489421720735","0","2","0","4.513399153737659","0","2","0","5.218617771509168","7","6","0","4.090267983074753","19","4","0","5.500705218617771","38","6","0","5.077574047954866","0","2","0","5.500705218617771","52","6","0","4.372355430183357"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","32","7","0","5.6417489421720735","0","2","0","4.513399153737659","0","2","0","5.218617771509168","13","7","0","4.231311706629055","26","5","0","5.500705218617771","56","7","0","5.077574047954866","0","2","0","5.500705218617771","69","7","0","4.513399153737659"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","32","8","0","5.6417489421720735","0","2","0","4.513399153737659","0","2","0","5.218617771509168","12","8","0","4.372355430183357","34","6","0","5.6417489421720735","72","8","0","5.077574047954866","0","2","0","5.500705218617771","94","8","0","4.513399153737659"
,"0","2","0","4.513399153737659","0","2","0","5.500705218617771","63","8","0","5.782792665726375","0","2","0","4.513399153737659","0","2","0","5.218617771509168","22","8","0","4.513399153737659","50","6","0","5.6417489421720735","106","8","0","5.077574047954866","0","2","0","5.500705218617771","129","8","0","4.513399153737659"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","63","8","0","5.782792665726375","0","4","0","4.513399153737659","0","4","0","5.218617771509168","20","12","0","4.65444287729196","63","9","0","5.923836389280677","136","13","0","5.218617771509168","0","4","0","5.500705218617771","169","13","0","4.65444287729196"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","121","9","0","5.782792665726375","0","4","0","4.513399153737659","0","4","0","5.218617771509168","38","13","0","4.795486600846263","93","10","0","5.923836389280677","194","14","0","5.6417489421720735","0","4","0","5.500705218617771","233","14","0","4.9365303244005645"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","120","9","0","5.923836389280677","0","4","0","4.513399153737659","0","4","0","5.218617771509168","36","13","0","4.9365303244005645","112","10","0","6.205923836389281","230","14","0","6.064880112834979","0","4","0","5.500705218617771","292","14","0","5.077574047954866"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","199","12","0","6.205923836389281","0","4","0","4.513399153737659","0","4","0","5.218617771509168","62","14","0","5.077574047954866","155","12","0","6.346967559943582","304","17","0","6.346967559943582","0","4","0","5.500705218617771","387","17","0","5.923836389280677"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","197","13","0","6.488011283497884","0","4","0","4.513399153737659","0","4","0","5.218617771509168","60","15","0","5.218617771509168","183","13","0","6.629055007052186","332","18","0","6.629055007052186","0","4","0","5.500705218617771","441","18","0","6.911142454160791"
,"0","4","0","4.513399153737659","0","4","0","5.500705218617771","294","13","0","6.911142454160791","0","4","0","4.513399153737659","0","4","0","5.218617771509168","103","15","0","5.359661495063469","235","13","0","7.052186177715091","428","18","0","7.052186177715091","0","4","0","5.500705218617771","532","18","0","7.475317348377997"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","289","17","0","7.475317348377997","0","8","0","4.513399153737659","0","7","0","5.218617771509168","101","20","0","5.359661495063469","261","18","0","7.6163610719323","462","27","0","8.180535966149506","0","8","0","5.500705218617771","554","27","0","9.167842031029618"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","383","18","0","8.321579689703809","0","8","0","4.513399153737659","0","7","0","5.218617771509168","148","21","0","5.359661495063469","309","19","0","8.321579689703809","553","28","0","9.873060648801129","0","8","0","5.500705218617771","587","28","0","10.719322990126939"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","374","18","0","9.30888575458392","0","8","0","4.513399153737659","0","7","0","5.218617771509168","145","21","0","5.500705218617771","335","19","0","8.885754583921015","576","28","0","11.001410437235542","0","8","0","5.500705218617771","603","28","0","11.988716502115656"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","467","25","0","10.578279266572638","0","8","0","4.513399153737659","0","7","0","5.218617771509168","193","23","0","5.923836389280677","389","23","0","9.732016925246826","660","33","0","13.117066290550069","0","8","0","5.500705218617771","650","31","0","13.822284908321581"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","454","26","0","11.847672778561353","0","8","0","4.513399153737659","0","7","0","5.218617771509168","186","24","0","6.488011283497884","407","24","0","10.155148095909732","663","34","0","15.373765867418902","0","8","0","5.500705218617771","659","32","0","16.07898448519041"
,"0","8","0","4.513399153737659","0","7","0","5.500705218617771","520","26","0","13.117066290550069","0","8","0","4.513399153737659","0","7","0","5.218617771509168","260","24","0","7.193229901269394","446","24","0","11.142454160789844","713","34","0","17.63046544428773","0","8","0","5.500705218617771","700","32","0","18.194640338504936"
,"0","12","0","4.513399153737659","0","12","0","5.500705218617771","503","32","0","14.386459802538788","0","15","0","4.513399153737659","0","12","0","5.218617771509168","250","33","0","8.039492242595205","459","34","0","12.693935119887165","694","49","0","21.438645980253877","0","14","0","5.500705218617771","693","42","0","21.156558533145276"
,"0","12","0","4.513399153737659","0","12","0","5.500705218617771","608","33","0","16.07898448519041","0","15","0","4.513399153737659","0","12","0","5.218617771509168","315","34","0","9.30888575458392","499","35","0","13.822284908321581","721","50","0","24.400564174894217","0","14","0","5.500705218617771","712","43","0","24.541607898448518"
,"0","12","0","4.513399153737659","0","12","0","5.500705218617771","588","33","0","17.48942172073343","0","15","0","4.513399153737659","0","12","0","5.218617771509168","302","34","0","10.155148095909732","512","35","0","15.655853314527505","688","50","0","26.657263751763043","0","14","0","5.500705218617771","716","43","0","27.362482369534558"
