"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model editted.nlogo"
"experiment"
"04/15/2021 21:51:57:373 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3"
"Macrophage_response","Low",,,,"Low",,,,"Low",,,
"Immune-cell-infiltration","10",,,,"10",,,,"10",,,
"Neutrophil_response","Low",,,,"Low",,,,"Low",,,
"Prolif-rate","2",,,,"2",,,,"2",,,
"number-antibiotic-molecules","300",,,,"300",,,,"300",,,
"Initial-bacteria","25",,,,"25",,,,"25",,,
"prob-macrophage-killing","0.9",,,,"0.9",,,,"0.9",,,
"[reporter]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
"[final]","522","95","83","52.750352609308884","432","127","84","49.647390691114246","0","0","0","0"
"[min]","5","1","0","0","1","1","0","0","0","0","0","0"
"[max]","748","143","108","88.01128349788434","734","144","107","87.02397743300423","753","138","116","87.30606488011283"
"[mean]","598.9267277268942","80.8684429641965","74.85345545378851","49.49166714620755","494.20649458784345","90.98168193172356","79.06827643630308","44.88584383723486","59.50541215653622","13.361365528726061","12.570358034970857","6.251959756150548"
"[steps]","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200"

"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"25","1","0","0","25","1","0","0","25","1","0","0"
,"5","2","0","4.372355430183357","1","2","0","5.359661495063469","3","2","0","5.218617771509168"
,"8","2","0","4.372355430183357","1","2","0","5.359661495063469","3","2","0","5.218617771509168"
,"10","2","0","4.372355430183357","2","2","0","5.359661495063469","5","2","0","5.218617771509168"
,"16","3","0","4.372355430183357","2","3","0","5.359661495063469","5","3","0","5.218617771509168"
,"19","3","0","4.372355430183357","4","3","0","5.359661495063469","10","3","0","5.218617771509168"
,"29","5","0","4.513399153737659","4","5","0","5.359661495063469","9","5","0","5.359661495063469"
,"34","6","0","4.65444287729196","8","6","0","5.359661495063469","18","6","0","5.359661495063469"
,"53","6","0","4.9365303244005645","8","6","0","5.359661495063469","18","6","0","5.359661495063469"
,"61","7","0","5.500705218617771","16","7","0","5.359661495063469","32","7","0","5.359661495063469"
,"95","8","0","5.782792665726375","15","8","0","5.500705218617771","32","8","0","5.359661495063469"
,"114","8","0","6.205923836389281","29","8","0","5.500705218617771","58","8","0","5.500705218617771"
,"179","13","0","6.770098730606488","27","9","0","5.6417489421720735","57","12","0","5.6417489421720735"
,"212","14","0","7.475317348377997","52","10","0","5.923836389280677","107","13","0","5.6417489421720735"
,"305","14","0","8.039492242595205","51","10","0","6.064880112834979","105","13","0","5.923836389280677"
,"352","17","0","8.744710860366714","95","12","0","6.488011283497884","174","16","0","6.346967559943582"
,"458","18","0","9.449929478138223","91","13","0","6.770098730606488","170","17","0","6.629055007052186"
,"493","18","0","10.296191819464035","150","13","0","7.334273624823695","271","17","0","6.911142454160791"
,"586","28","0","11.847672778561353","139","19","0","8.46262341325811","265","23","0","7.334273624823695"
,"607","29","0","13.822284908321581","229","20","0","8.885754583921015","367","24","0","8.180535966149506"
,"674","29","0","15.937940761636108","218","20","0","9.732016925246826","358","24","0","9.026798307475318"
,"683","29","0","17.48942172073343","322","25","0","10.719322990126939","494","30","0","10.860366713681241"
,"731","30","0","19.464033850493653","312","26","0","11.847672778561353","474","31","0","12.693935119887165"
,"725","30","0","21.720733427362482","435","26","0","13.117066290550069","623","31","0","14.527503526093088"
,"748","42","0","24.400564174894217","420","35","0","14.66854724964739","600","38","0","16.784203102961918"
,"735","43","0","27.080394922425953","575","36","0","17.066290550070523","715","39","0","18.899858956276447"
,"740","43","0","29.196050775740478","555","36","0","19.18194640338505","689","39","0","21.015514809590975"
,"734","44","0","31.029619181946405","677","43","0","21.720733427362482","737","48","0","24.118476727785616"
,"736","45","1","33.42736248236953","652","44","1","23.554301833568406","705","49","1","26.375176304654442"
,"729","45","1","35.966149506346966","730","44","1","26.093088857545837","753","49","1","29.055007052186177"
,"725","63","1","39.06911142454161","690","54","1","28.913963328631876","710","64","1","32.58110014104372"
,"704","64","2","41.607898448519045","724","55","2","32.01692524682652","738","65","2","36.24823695345557"
,"731","64","2","44.14668547249647","684","55","2","34.696755994358256","691","65","2","38.3638928067701"
,"711","68","2","46.262341325811","724","64","2","38.2228490832158","719","75","2","41.18476727785614"
,"723","69","3","48.801128349788435","680","65","3","40.33850493653032","668","76","3","43.30042313117066"
,"703","69","3","51.90409026798307","734","65","3","43.01833568406206","722","76","3","46.685472496473906"
,"710","88","3","54.724964739069115","669","87","3","46.5444287729196","662","86","3","49.365303244005645"
,"679","89","4","55.99435825105783","710","88","4","50.634696755994355","723","87","4","53.032440056417485"
,"713","89","4","58.392101551480955","633","88","4","54.724964739069115","662","87","4","56.69957686882934"
,"682","91","4","60.9308885754584","682","100","4","58.392101551480955","715","98","4","60.08462623413258"
,"700","92","5","63.75176304654443","610","101","5","60.64880112834978","650","99","5","62.62341325811002"
,"661","92","5","66.71368124118476","697","101","5","62.90550070521862","714","99","5","64.88011283497885"
,"669","120","6","69.5345557122708","612","124","6","65.02115655853315","647","114","6","66.43159379407616"
